order_id,customer_id,order_date,order_status,payment_method,total_amount
88,1309,2024-04-28,Delivered,COD,60957
89,465,2025-11-29,Cancelled,NetBanking,198011
90,1560,2024-07-27,Delivered,COD,308295
91,568,2024-12-06,Shipped,COD,177690
92,843,2025-08-24,Returned,COD,167774
93,1400,2025-08-02,Shipped,COD,129217
94,492,2025-08-31,Returned,Credit Card,357614
95,1187,2024-04-14,Cancelled,UPI,209030
96,823,2025-06-20,Delivered,COD,293673
97,244,2024-12-07,Shipped,NetBanking,133926
98,739,2025-12-25,Delivered,Credit Card,689155
99,1016,2025-02-12,Cancelled,UPI,276646
100,1102,2024-06-05,Returned,COD,1879
101,987,2026-02-25,Returned,NetBanking,33977
102,1551,2024-06-21,Cancelled,Credit Card,35853
103,1203,2024-09-06,Returned,NetBanking,141866
104,987,2026-01-06,Delivered,UPI,245520
105,612,2025-04-04,Shipped,NetBanking,393568
106,163,2025-10-26,Shipped,COD,144897
107,1122,2025-03-31,Delivered,COD,46811
108,1506,2025-11-04,Shipped,UPI,341271
109,541,2024-09-30,Returned,UPI,308802
110,676,2025-04-03,Shipped,Credit Card,85658
111,1295,2024-07-31,Delivered,NetBanking,95636
112,249,2025-09-07,Returned,UPI,88466
113,381,2026-01-04,Shipped,UPI,41937
114,135,2025-02-07,Cancelled,Credit Card,356608
115,1630,2025-03-14,Cancelled,NetBanking,100000
116,1263,2025-04-10,Shipped,Credit Card,51413
117,1192,2024-09-27,Cancelled,COD,2489
118,892,2024-09-09,Returned,NetBanking,145121
119,1509,2025-01-14,Returned,NetBanking,110422
120,987,2025-01-26,Cancelled,UPI,19569
121,1718,2025-04-18,Cancelled,Credit Card,203091
122,1854,2025-12-15,Shipped,UPI,144465
123,1486,2025-07-24,Shipped,Credit Card,192730
124,893,2025-11-18,Returned,NetBanking,164303
125,1243,2024-07-20,Returned,COD,39138
126,1420,2025-06-24,Cancelled,Credit Card,120450
127,781,2025-10-23,Cancelled,COD,121100
128,1650,2024-04-04,Cancelled,COD,30186
129,1391,2024-03-11,Delivered,Credit Card,72647
130,956,2024-08-25,Delivered,Credit Card,19678
131,1443,2024-11-05,Returned,NetBanking,51327
132,1091,2025-01-31,Returned,COD,114754
133,1165,2025-04-27,Delivered,UPI,7147
134,1444,2024-09-15,Delivered,NetBanking,408392
135,1349,2024-03-27,Shipped,NetBanking,56605
136,1029,2024-05-01,Cancelled,NetBanking,169300
137,783,2024-10-12,Shipped,NetBanking,79402
138,1715,2024-10-24,Shipped,UPI,52000
139,20,2024-06-09,Returned,UPI,398050
140,1212,2024-05-21,Returned,UPI,137717
141,585,2026-01-05,Returned,Credit Card,149645
142,921,2025-07-08,Shipped,NetBanking,154849
143,555,2025-11-10,Returned,Credit Card,226217
144,945,2025-07-22,Returned,Credit Card,315490
145,1094,2024-08-07,Returned,NetBanking,100521
146,825,2024-04-16,Shipped,Credit Card,211170
147,1134,2025-08-19,Shipped,UPI,193303
148,206,2024-03-18,Returned,COD,135848
149,1182,2026-01-07,Shipped,COD,195183
150,334,2025-01-18,Returned,Credit Card,51351
151,688,2025-03-17,Delivered,UPI,32389
152,402,2025-02-21,Delivered,UPI,84746
153,1837,2026-01-02,Cancelled,Credit Card,240708
154,1707,2026-01-21,Shipped,NetBanking,289048
155,409,2024-06-17,Delivered,NetBanking,355053
156,124,2024-08-08,Shipped,NetBanking,71543
157,111,2024-04-29,Cancelled,UPI,164681
158,1981,2026-01-17,Shipped,Credit Card,261639
159,843,2025-01-13,Cancelled,Credit Card,47492
160,672,2025-02-04,Delivered,Credit Card,63237
161,1439,2025-12-30,Delivered,COD,137777
162,246,2024-09-08,Returned,UPI,46162
163,520,2025-06-16,Cancelled,Credit Card,210397
164,1224,2025-10-01,Shipped,NetBanking,61832
165,1755,2024-09-21,Delivered,UPI,360392
166,1462,2026-02-12,Shipped,UPI,131323
167,840,2024-07-07,Delivered,Credit Card,119681
168,375,2024-08-28,Cancelled,Credit Card,348118
169,811,2024-07-09,Delivered,NetBanking,142806
170,1781,2025-07-13,Shipped,NetBanking,13992
171,1578,2025-04-15,Cancelled,COD,346023
172,1776,2026-01-23,Cancelled,Credit Card,327789
173,1788,2026-02-06,Shipped,UPI,444468
174,688,2024-09-20,Delivered,UPI,94932
175,341,2024-03-28,Cancelled,Credit Card,261369
176,1828,2025-11-08,Returned,Credit Card,76576
177,1386,2024-08-08,Returned,UPI,284678
178,1261,2025-05-03,Shipped,UPI,73614
179,793,2024-05-23,Shipped,UPI,4277
180,712,2025-05-22,Shipped,UPI,143656
181,1389,2026-02-24,Shipped,COD,3699
182,1587,2026-01-17,Shipped,UPI,9621
183,507,2024-09-03,Delivered,COD,129884
184,1156,2024-12-09,Shipped,UPI,144192
185,1258,2025-08-30,Delivered,Credit Card,64079
186,1405,2025-11-17,Cancelled,Credit Card,105534
187,1332,2024-07-10,Shipped,Credit Card,158421
188,970,2025-12-06,Shipped,NetBanking,162228
189,974,2024-04-18,Returned,COD,178795
190,975,2025-02-21,Cancelled,NetBanking,7057
191,1923,2026-02-26,Cancelled,COD,93460
192,178,2025-01-02,Shipped,Credit Card,215509
193,1955,2024-09-15,Cancelled,NetBanking,163098
194,844,2024-12-07,Cancelled,COD,64269
195,520,2025-08-19,Shipped,UPI,230163
196,1168,2025-11-15,Delivered,UPI,134793
197,1122,2024-09-10,Cancelled,Credit Card,108030
198,830,2025-12-27,Delivered,NetBanking,240219
199,1117,2025-01-14,Cancelled,Credit Card,155678
200,829,2025-09-27,Returned,UPI,108134
201,1236,2025-10-01,Returned,COD,527483
202,1614,2025-09-25,Cancelled,UPI,340824
203,1569,2025-09-19,Returned,NetBanking,249371
204,932,2025-11-15,Cancelled,UPI,154411
205,1603,2024-08-31,Delivered,UPI,320229
206,1760,2024-11-02,Cancelled,Credit Card,312403
207,1593,2025-08-16,Delivered,Credit Card,160503
208,1895,2025-05-26,Shipped,Credit Card,379037
209,1938,2025-02-13,Delivered,NetBanking,178835
210,1387,2025-04-23,Returned,UPI,248756
211,635,2024-09-18,Shipped,COD,140612
212,961,2024-10-19,Cancelled,Credit Card,389147
213,738,2025-07-10,Returned,NetBanking,170033
214,1639,2024-03-07,Cancelled,Credit Card,179715
215,727,2024-08-31,Delivered,NetBanking,21343
216,1788,2025-01-31,Returned,UPI,411028
217,808,2026-01-12,Delivered,NetBanking,501697
218,1628,2025-12-25,Cancelled,COD,201705
219,498,2024-05-13,Delivered,COD,277869
220,625,2024-11-01,Shipped,COD,88516
221,1379,2024-08-03,Shipped,NetBanking,21463
222,609,2025-09-28,Shipped,COD,342074
223,1116,2024-03-28,Shipped,COD,69535
224,1421,2026-01-18,Shipped,COD,452899
225,1604,2025-09-15,Returned,NetBanking,128236
226,418,2026-01-18,Delivered,NetBanking,213891
227,1449,2025-02-05,Shipped,UPI,223326
228,1049,2025-02-28,Cancelled,UPI,47190
229,1022,2025-03-19,Shipped,Credit Card,183477
230,1581,2024-11-10,Cancelled,UPI,245452
231,213,2024-10-01,Cancelled,NetBanking,346913
232,691,2024-12-04,Shipped,Credit Card,418769
233,1453,2024-04-10,Cancelled,COD,170840
234,632,2024-06-10,Delivered,Credit Card,190522
235,1497,2024-03-12,Cancelled,UPI,192914
236,1992,2024-02-28,Delivered,COD,55836
237,1538,2026-02-10,Cancelled,COD,83507
238,1493,2025-12-14,Shipped,COD,199426
239,1588,2024-07-09,Returned,Credit Card,52802
240,1183,2025-07-26,Delivered,COD,46202
241,1119,2025-10-16,Delivered,COD,429994
242,253,2024-05-07,Delivered,COD,36276
243,232,2024-08-09,Returned,UPI,222938
244,537,2025-05-09,Delivered,UPI,79816
245,1100,2025-05-19,Delivered,UPI,196757
246,1370,2024-03-04,Returned,UPI,49200
247,958,2025-08-04,Delivered,COD,101014
248,85,2025-02-21,Delivered,COD,126914
249,629,2025-09-10,Shipped,UPI,51108
250,419,2024-05-13,Returned,Credit Card,33063
251,623,2026-01-29,Cancelled,Credit Card,118325
252,446,2025-07-19,Delivered,Credit Card,387318
253,11,2025-05-25,Shipped,UPI,2879
254,742,2024-10-03,Cancelled,COD,96502
255,1721,2024-09-06,Returned,Credit Card,216146
256,985,2024-05-10,Shipped,Credit Card,443597
257,1531,2024-08-03,Returned,NetBanking,172527
258,1593,2025-10-26,Returned,Credit Card,28757
259,1767,2025-11-01,Returned,NetBanking,403980
260,185,2024-12-14,Returned,COD,205356
261,1656,2025-08-07,Returned,COD,155312
262,878,2025-07-15,Returned,Credit Card,71748
263,187,2024-08-19,Returned,Credit Card,471215
264,1346,2025-08-14,Delivered,UPI,108277
265,1801,2025-07-10,Returned,Credit Card,274300
266,1388,2025-02-01,Returned,COD,39840
267,896,2025-05-28,Returned,COD,270105
268,934,2024-05-20,Cancelled,COD,458826
269,969,2025-03-29,Shipped,COD,12081
270,1135,2025-11-25,Returned,NetBanking,206601
271,1766,2025-10-13,Returned,COD,341642
272,1393,2025-03-02,Cancelled,NetBanking,215838
273,629,2024-06-17,Cancelled,Credit Card,252733
274,703,2024-08-10,Returned,COD,298492
275,560,2025-08-25,Delivered,UPI,38431
276,190,2025-08-05,Returned,Credit Card,4768
277,1821,2025-07-01,Shipped,NetBanking,142518
278,479,2024-10-09,Returned,UPI,271239
279,1796,2024-07-28,Returned,COD,336654
280,815,2024-05-21,Shipped,NetBanking,263912
281,1321,2025-07-03,Shipped,Credit Card,75284
282,1719,2024-11-18,Delivered,Credit Card,260805
283,280,2025-01-12,Shipped,COD,24981
284,239,2024-10-23,Cancelled,COD,270424
285,444,2025-02-02,Shipped,COD,87692
286,1692,2024-12-02,Delivered,UPI,69781
287,114,2024-11-20,Cancelled,COD,143645
288,1194,2024-04-04,Shipped,NetBanking,23775
289,232,2024-12-25,Returned,Credit Card,117910
290,1167,2025-08-24,Shipped,UPI,198819
291,1238,2025-04-11,Cancelled,Credit Card,87433
292,1029,2025-09-29,Cancelled,NetBanking,161055
293,1331,2024-10-11,Cancelled,Credit Card,65303
294,739,2024-05-12,Delivered,COD,232787
295,1619,2025-07-09,Delivered,Credit Card,46534
296,1061,2025-12-25,Shipped,UPI,25168
297,1469,2025-12-10,Delivered,UPI,114365
298,1485,2024-09-23,Delivered,NetBanking,392894
299,801,2024-08-25,Delivered,NetBanking,234917
300,502,2024-08-31,Returned,COD,121783
301,417,2025-04-02,Shipped,COD,104697
302,1356,2025-12-30,Returned,NetBanking,99780
303,512,2025-05-15,Returned,COD,69318
304,1481,2024-05-06,Cancelled,Credit Card,383002
305,1213,2025-04-13,Shipped,NetBanking,427398
306,1489,2024-09-12,Returned,NetBanking,434244
307,71,2024-12-04,Cancelled,COD,72638
308,1179,2025-04-09,Returned,UPI,36885
309,350,2026-02-03,Delivered,Credit Card,266818
310,560,2024-08-30,Cancelled,NetBanking,159312
311,1116,2024-06-11,Delivered,NetBanking,222813
312,1519,2025-10-15,Cancelled,NetBanking,360343
313,293,2024-03-21,Delivered,Credit Card,59482
314,88,2025-09-17,Returned,Credit Card,396485
315,1827,2024-11-08,Returned,NetBanking,374369
316,1308,2025-09-17,Cancelled,UPI,21421
317,1882,2024-05-03,Returned,COD,112861
318,1962,2024-10-27,Returned,UPI,254957
319,309,2024-08-16,Shipped,Credit Card,473964
320,1241,2025-10-04,Shipped,Credit Card,147613
321,602,2024-12-26,Returned,NetBanking,50208
322,1374,2024-08-07,Shipped,NetBanking,261491
323,281,2025-03-28,Cancelled,NetBanking,22957
324,1019,2025-02-25,Delivered,COD,38967
325,826,2025-11-29,Cancelled,UPI,274926
326,753,2024-12-16,Shipped,NetBanking,371280
327,313,2025-09-01,Cancelled,COD,237329
328,1802,2024-04-05,Cancelled,COD,384499
329,607,2025-12-27,Cancelled,UPI,271658
330,763,2024-11-12,Shipped,NetBanking,80743
331,83,2025-12-29,Returned,Credit Card,76424
332,973,2024-03-31,Delivered,UPI,112910
333,344,2024-05-30,Returned,NetBanking,263916
334,827,2024-07-17,Shipped,UPI,282647
335,754,2024-02-29,Cancelled,UPI,41596
336,950,2024-11-20,Shipped,NetBanking,36957
337,2,2025-03-05,Cancelled,NetBanking,264901
338,1046,2025-03-18,Shipped,UPI,101582
339,1750,2024-10-21,Shipped,UPI,6274
340,55,2024-03-09,Shipped,UPI,164470
341,604,2025-01-27,Cancelled,UPI,141484
342,711,2025-12-09,Cancelled,NetBanking,328867
343,329,2024-12-21,Delivered,NetBanking,443697
344,1691,2025-06-13,Shipped,UPI,142445
345,1403,2024-05-31,Shipped,COD,178693
346,996,2024-07-18,Cancelled,NetBanking,66117
347,1720,2025-03-08,Shipped,UPI,266791
348,1774,2024-04-12,Returned,COD,159759
349,1364,2026-02-08,Returned,Credit Card,111790
350,239,2025-09-14,Shipped,UPI,79103
351,132,2025-07-08,Shipped,Credit Card,179895
352,1743,2025-08-28,Delivered,Credit Card,79933
353,1028,2024-10-28,Returned,NetBanking,173767
354,361,2025-06-02,Returned,NetBanking,401512
355,236,2025-05-03,Shipped,UPI,26020
356,1835,2025-10-22,Shipped,UPI,366923
357,1730,2024-11-08,Returned,NetBanking,172618
358,1528,2025-03-17,Delivered,Credit Card,238681
359,912,2024-06-20,Shipped,Credit Card,35812
360,756,2025-07-24,Returned,NetBanking,231362
361,886,2026-01-24,Cancelled,COD,290379
362,1092,2026-01-05,Shipped,NetBanking,194467
363,316,2024-08-12,Cancelled,UPI,154529
364,221,2025-01-18,Returned,NetBanking,76968
365,1307,2024-12-30,Cancelled,UPI,182981
366,1605,2024-07-30,Returned,Credit Card,287804
367,1037,2026-02-17,Delivered,COD,323738
368,967,2024-08-25,Shipped,UPI,156399
369,1567,2025-05-31,Cancelled,COD,159714
370,298,2024-10-19,Cancelled,NetBanking,58899
371,1779,2025-10-13,Cancelled,COD,353928
372,1982,2024-05-03,Shipped,NetBanking,147724
373,167,2024-05-23,Shipped,COD,249480
374,1197,2025-12-28,Shipped,NetBanking,107393
375,1084,2024-06-09,Returned,NetBanking,21746
376,1323,2024-09-21,Returned,NetBanking,336770
377,492,2025-07-09,Cancelled,UPI,141014
378,1339,2025-11-29,Returned,COD,149627
379,1756,2024-11-27,Returned,COD,85756
380,1493,2025-08-24,Cancelled,NetBanking,241199
381,1887,2024-09-21,Cancelled,UPI,189902
382,1543,2025-09-02,Cancelled,NetBanking,335182
383,1587,2026-02-15,Shipped,UPI,223711
384,1204,2025-04-15,Cancelled,NetBanking,38125
385,121,2025-07-08,Delivered,UPI,330716
386,1111,2024-08-23,Shipped,UPI,326589
387,980,2024-04-12,Cancelled,NetBanking,176539
388,1016,2025-05-03,Delivered,COD,388210
389,934,2025-12-09,Delivered,Credit Card,164588
390,774,2025-11-03,Delivered,Credit Card,181962
391,1797,2024-08-11,Shipped,Credit Card,57634
392,1231,2026-01-12,Delivered,COD,103336
393,1129,2025-04-09,Returned,UPI,319385
394,1630,2024-08-28,Shipped,Credit Card,37800
395,1621,2025-06-19,Shipped,NetBanking,64842
396,976,2025-01-27,Cancelled,COD,184381
397,720,2025-10-22,Cancelled,Credit Card,144244
398,783,2024-04-19,Delivered,COD,288108
399,368,2025-06-05,Shipped,UPI,248808
400,272,2025-04-20,Delivered,Credit Card,105465
401,874,2024-04-15,Delivered,UPI,83522
402,414,2025-06-02,Delivered,COD,169854
403,1748,2024-07-07,Delivered,Credit Card,252937
404,1448,2024-03-29,Cancelled,Credit Card,45652
405,1961,2024-06-21,Returned,NetBanking,210200
406,418,2024-03-21,Cancelled,NetBanking,208738
407,94,2025-01-28,Returned,COD,15410
408,1447,2025-06-13,Shipped,COD,287012
409,189,2025-08-23,Shipped,COD,299031
410,1593,2026-02-15,Cancelled,NetBanking,233708
411,922,2024-03-04,Delivered,UPI,268458
412,176,2024-10-02,Shipped,UPI,96715
413,329,2024-09-23,Shipped,COD,105769
414,639,2026-01-11,Returned,NetBanking,186111
415,482,2025-04-21,Cancelled,COD,298914
416,981,2025-06-19,Cancelled,NetBanking,53026
417,674,2024-02-27,Returned,Credit Card,4763
418,482,2024-04-06,Cancelled,Credit Card,490729
419,1337,2025-02-07,Returned,COD,255250
420,1187,2024-08-20,Returned,UPI,120669
421,410,2025-11-18,Delivered,NetBanking,314075
422,80,2025-10-03,Delivered,NetBanking,40717
423,1486,2024-05-11,Cancelled,COD,224307
424,911,2026-01-08,Shipped,NetBanking,99830
425,570,2025-10-24,Shipped,UPI,131608
426,884,2026-02-06,Shipped,NetBanking,105030
427,267,2025-11-15,Delivered,NetBanking,313605
428,810,2025-07-22,Delivered,NetBanking,24218
429,975,2024-03-29,Shipped,Credit Card,340065
430,1683,2025-08-02,Shipped,COD,63181
431,1932,2025-02-25,Delivered,COD,473992
432,1165,2025-03-22,Shipped,Credit Card,295737
433,1216,2024-07-26,Cancelled,COD,257111
434,16,2024-10-15,Returned,NetBanking,13942
435,1072,2024-10-23,Delivered,Credit Card,100985
436,1693,2024-02-29,Shipped,Credit Card,122376
437,392,2024-11-17,Cancelled,Credit Card,69577
438,364,2024-06-18,Returned,COD,191678
439,725,2024-05-12,Cancelled,NetBanking,262870
440,525,2025-03-24,Shipped,UPI,316264
441,273,2025-10-14,Shipped,Credit Card,112524
442,1119,2025-04-01,Shipped,NetBanking,256936
443,413,2024-08-04,Delivered,COD,397274
444,702,2024-09-24,Cancelled,COD,214247
445,571,2025-11-16,Delivered,NetBanking,127379
446,1257,2025-09-21,Returned,Credit Card,234830
447,835,2024-12-06,Returned,NetBanking,136885
448,1422,2024-09-08,Cancelled,COD,59034
449,1207,2025-06-13,Cancelled,Credit Card,113532
450,888,2024-06-02,Returned,COD,158394
451,93,2025-07-09,Shipped,NetBanking,204541
452,935,2025-06-04,Returned,NetBanking,230138
453,548,2024-06-14,Returned,UPI,145230
454,1958,2024-11-24,Returned,COD,229033
455,153,2024-07-12,Delivered,Credit Card,438061
456,1906,2025-06-20,Returned,UPI,338545
457,458,2024-04-08,Shipped,UPI,526184
458,483,2025-08-02,Returned,NetBanking,259601
459,107,2024-06-01,Delivered,COD,362982
460,1804,2025-04-22,Shipped,COD,185302
461,784,2025-12-30,Shipped,NetBanking,93816
462,1183,2024-03-03,Shipped,COD,126750
463,805,2025-02-02,Delivered,COD,15784
464,1999,2024-08-11,Cancelled,COD,233225
465,1089,2025-07-21,Shipped,Credit Card,70433
466,96,2025-06-01,Shipped,Credit Card,252282
467,1570,2024-08-30,Returned,Credit Card,39712
468,627,2024-12-02,Returned,NetBanking,298047
469,452,2024-03-15,Cancelled,NetBanking,372978
470,1199,2024-04-26,Shipped,COD,88932
471,2,2025-10-28,Delivered,NetBanking,74933
472,1059,2024-02-27,Delivered,NetBanking,293204
473,1701,2024-04-15,Returned,Credit Card,250529
474,1549,2026-02-13,Returned,COD,304689
475,185,2025-12-21,Shipped,Credit Card,94561
476,1529,2024-03-08,Delivered,UPI,182004
477,335,2026-02-06,Returned,NetBanking,149603
478,1489,2026-01-01,Shipped,UPI,28192
479,870,2025-12-17,Returned,NetBanking,206773
480,241,2025-10-04,Cancelled,COD,315038
481,1427,2025-10-08,Shipped,NetBanking,38536
482,161,2026-01-27,Shipped,COD,206010
483,1336,2024-03-05,Cancelled,Credit Card,185968
484,1032,2025-12-15,Shipped,Credit Card,141018
485,339,2024-08-13,Shipped,Credit Card,268516
486,438,2026-01-01,Cancelled,NetBanking,191267
487,1030,2024-03-17,Returned,Credit Card,199833
488,761,2025-04-29,Delivered,COD,108184
489,907,2025-03-04,Cancelled,NetBanking,280794
490,1990,2024-05-17,Shipped,COD,640995
491,1885,2024-12-28,Delivered,UPI,32728
492,1589,2025-05-29,Cancelled,COD,136098
493,144,2025-12-12,Delivered,Credit Card,280786
494,955,2025-11-23,Returned,UPI,517131
495,1131,2024-09-14,Returned,UPI,37828
496,97,2024-12-23,Shipped,UPI,190144
497,305,2024-07-23,Cancelled,Credit Card,120850
498,128,2025-05-11,Returned,UPI,374017
499,1892,2025-05-18,Delivered,NetBanking,102654
500,857,2025-10-04,Returned,COD,475315
501,1052,2025-04-28,Cancelled,NetBanking,81199
502,1224,2025-02-08,Cancelled,Credit Card,96252
503,1918,2025-12-17,Shipped,NetBanking,240872
504,156,2025-03-29,Delivered,Credit Card,138513
505,875,2024-09-05,Delivered,Credit Card,268439
506,1103,2026-02-03,Returned,UPI,203390
507,1073,2025-09-18,Delivered,NetBanking,517825
508,1149,2025-06-24,Shipped,UPI,117998
509,1610,2025-08-01,Shipped,COD,25472
510,828,2024-10-29,Cancelled,COD,80124
511,868,2024-11-04,Delivered,NetBanking,152622
512,1812,2026-02-22,Shipped,UPI,217130
513,64,2024-09-03,Cancelled,COD,274168
514,336,2025-08-06,Cancelled,COD,195154
515,851,2024-03-12,Cancelled,COD,402515
516,1838,2024-03-15,Shipped,Credit Card,97235
517,1695,2024-03-03,Returned,Credit Card,154552
518,108,2024-05-30,Returned,UPI,455018
519,297,2025-09-09,Returned,NetBanking,376120
520,1946,2025-03-25,Delivered,Credit Card,244262
521,202,2024-07-28,Shipped,UPI,495138
522,1768,2025-07-02,Delivered,Credit Card,367795
523,463,2025-11-09,Delivered,Credit Card,60926
524,1181,2025-05-06,Delivered,COD,226608
525,1682,2024-09-08,Delivered,NetBanking,98302
526,1393,2025-12-19,Cancelled,UPI,308984
527,1060,2025-11-08,Returned,UPI,56406
528,1195,2025-06-01,Delivered,COD,398952
529,1289,2025-01-15,Returned,UPI,278197
530,471,2026-02-09,Cancelled,NetBanking,328776
531,923,2026-02-06,Returned,NetBanking,600692
532,961,2026-01-23,Delivered,Credit Card,456693
533,1759,2024-11-17,Shipped,UPI,324182
534,1972,2024-08-04,Cancelled,COD,100889
535,298,2025-05-14,Shipped,NetBanking,106573
536,877,2025-07-18,Cancelled,NetBanking,52190
537,1971,2025-07-04,Returned,NetBanking,414870
538,1121,2024-12-16,Delivered,UPI,31597
539,369,2024-05-05,Shipped,UPI,220828
540,26,2024-12-25,Shipped,UPI,136637
541,124,2024-12-13,Delivered,Credit Card,117824
542,1813,2025-10-18,Shipped,Credit Card,30176
543,401,2024-05-22,Delivered,COD,124824
544,368,2025-09-05,Shipped,COD,157465
545,652,2025-12-29,Delivered,UPI,140301
546,1949,2024-07-22,Returned,Credit Card,61987
547,1734,2025-10-07,Returned,Credit Card,96314
548,1694,2024-10-30,Returned,Credit Card,199973
549,870,2025-05-03,Delivered,Credit Card,262025
550,1436,2024-10-09,Returned,UPI,348792
551,106,2025-08-02,Delivered,UPI,36787
552,1032,2024-04-23,Delivered,Credit Card,152540
553,778,2024-08-04,Returned,NetBanking,643308
554,730,2024-03-11,Returned,COD,62902
555,1928,2025-06-05,Delivered,COD,246505
556,922,2024-11-29,Cancelled,UPI,101518
557,795,2025-03-25,Cancelled,COD,391051
558,1781,2025-12-17,Cancelled,UPI,209157
559,1236,2025-11-20,Delivered,Credit Card,359291
560,770,2025-12-23,Cancelled,NetBanking,398039
561,1977,2026-01-25,Cancelled,Credit Card,286587
562,1593,2025-08-26,Delivered,UPI,105040
563,936,2024-06-25,Returned,UPI,25125
564,969,2024-12-27,Delivered,Credit Card,131256
565,1880,2024-06-09,Delivered,UPI,462966
566,1120,2025-11-06,Returned,NetBanking,315703
567,1191,2026-01-31,Delivered,Credit Card,382004
568,1298,2024-06-07,Shipped,UPI,231743
569,817,2024-11-10,Returned,Credit Card,189867
570,477,2025-12-27,Returned,COD,311265
571,89,2025-06-02,Delivered,COD,167720
572,1570,2024-03-25,Cancelled,COD,319300
573,1372,2024-03-14,Shipped,UPI,8715
574,696,2024-10-16,Shipped,COD,223458
575,859,2024-05-30,Delivered,COD,203798
