inv_id,product_id,stock_in,stock_out,updated_at
91,115,47,27,2024-05-11
92,125,18,4,2025-04-09
93,125,15,37,2026-02-20
94,379,32,0,2024-03-27
95,208,47,8,2025-02-13
96,331,0,12,2025-01-19
97,56,10,8,2025-12-02
98,483,17,37,2024-07-03
99,364,33,32,2025-10-05
100,376,25,21,2025-01-14
101,442,35,24,2024-04-11
102,30,46,11,2025-04-08
103,407,5,33,2025-06-21
104,22,40,38,2024-10-16
105,334,22,32,2025-04-27
106,78,27,31,2025-11-21
107,480,34,45,2024-11-29
108,241,35,15,2025-12-20
109,417,46,24,2024-03-14
110,381,30,5,2025-01-17
111,371,43,13,2024-07-09
112,323,49,35,2024-06-11
113,13,32,31,2025-06-06
114,33,41,34,2024-06-25
115,218,50,36,2026-02-04
116,441,46,17,2025-01-09
117,113,50,26,2024-11-01
118,230,14,31,2025-02-05
119,328,27,20,2024-10-01
120,181,28,6,2025-07-20
121,232,46,45,2024-04-20
122,267,38,16,2025-01-16
123,277,37,19,2025-07-02
124,359,28,39,2024-11-12
125,417,42,26,2025-11-16
126,410,30,28,2024-05-18
127,197,18,35,2025-05-22
128,295,42,9,2024-11-20
129,42,1,6,2026-02-15
130,433,1,43,2024-04-14
131,297,31,43,2025-10-06
132,275,31,42,2024-08-31
133,19,46,44,2024-12-30
134,162,24,24,2024-09-15
135,402,5,43,2024-05-22
136,29,30,46,2025-08-16
137,126,25,50,2025-03-10
138,365,3,33,2025-02-25
139,67,1,12,2024-09-23
140,257,22,21,2025-04-02
141,414,1,46,2025-05-19
142,396,4,47,2025-05-24
143,481,1,48,2025-09-04
144,38,3,28,2024-09-10
145,423,36,7,2025-12-21
146,231,20,23,2026-02-06
147,412,6,28,2026-02-08
148,172,12,39,2025-11-08
149,401,43,24,2024-09-13
150,266,37,4,2024-05-21
151,387,10,36,2025-11-05
152,411,3,16,2025-07-25
153,92,1,27,2024-06-06
154,212,5,26,2025-09-02
155,290,14,35,2025-02-21
156,262,6,28,2025-07-07
157,422,20,13,2024-06-27
158,498,22,3,2025-01-26
159,214,30,31,2025-01-18
160,37,30,49,2024-03-14
161,142,39,14,2026-02-20
162,353,10,48,2024-08-31
163,252,38,46,2026-01-08
164,269,46,36,2026-02-17
165,326,25,7,2025-11-30
166,211,47,43,2025-09-11
167,473,48,37,2024-11-30
168,12,33,48,2024-09-11
169,273,38,32,2025-12-29
170,197,35,11,2025-03-30
171,12,24,2,2025-07-14
172,204,36,6,2025-03-06
173,187,19,49,2025-09-09
174,250,43,33,2025-03-29
175,58,16,18,2024-03-13
176,55,43,32,2025-05-09
177,57,7,6,2024-10-21
178,467,29,27,2024-07-21
179,325,12,14,2025-11-10
180,462,12,10,2025-07-25
181,454,40,42,2024-04-11
182,498,17,18,2025-10-18
183,430,31,37,2024-07-08
184,222,19,11,2025-04-07
185,458,28,33,2025-06-08
186,196,25,15,2025-08-17
187,369,8,38,2025-02-16
188,434,41,31,2025-04-18
189,343,4,20,2024-12-29
190,237,11,18,2025-06-08
191,227,11,28,2025-10-05
192,416,33,46,2024-07-06
193,360,16,9,2026-01-24
194,214,10,15,2025-10-29
195,370,29,14,2025-08-06
196,342,26,28,2024-08-26
197,424,16,1,2024-08-26
198,13,21,40,2025-12-13
199,390,10,36,2026-02-26
200,314,47,31,2025-01-26
201,126,24,36,2026-02-17
202,160,43,9,2026-01-03
203,377,3,6,2025-08-07
204,124,41,41,2025-10-12
205,86,33,21,2024-10-14
206,380,1,37,2025-09-12
207,89,38,30,2024-09-23
208,398,10,50,2025-09-16
209,214,34,25,2025-09-02
210,85,31,11,2025-01-14
211,10,4,19,2024-07-03
212,389,38,16,2024-10-01
213,285,32,32,2025-09-04
214,235,7,29,2025-01-03
215,260,13,26,2025-01-12
216,319,46,28,2025-09-15
217,120,30,0,2024-08-15
218,331,35,12,2025-02-12
219,180,0,20,2024-03-18
220,73,18,43,2026-02-11
221,372,3,47,2024-09-06
222,395,0,0,2025-10-10
223,262,1,18,2025-05-23
224,410,16,45,2026-02-22
225,453,36,10,2024-04-13
226,400,27,35,2024-10-24
227,235,28,12,2025-02-14
228,202,23,47,2024-11-20
229,125,35,30,2024-12-08
230,91,39,18,2024-03-25
231,299,32,25,2024-03-15
232,284,9,35,2024-08-13
233,398,4,19,2025-10-12
234,338,24,27,2025-02-28
235,384,18,0,2025-12-04
236,251,23,44,2025-11-11
237,402,10,43,2024-11-09
238,112,12,40,2026-01-30
239,191,35,2,2025-07-07
240,113,35,46,2024-09-30
241,40,7,1,2025-06-20
242,96,27,29,2024-02-29
243,250,42,42,2025-03-22
244,53,14,31,2024-12-12
245,212,25,31,2025-09-20
246,434,26,37,2025-10-29
247,65,39,9,2024-12-11
248,315,36,22,2024-10-26
249,267,14,5,2025-04-22
250,172,15,18,2025-12-10
251,364,12,18,2024-06-18
252,135,47,15,2024-05-23
253,105,32,34,2024-11-30
254,403,8,6,2025-03-26
255,426,0,28,2024-10-05
256,72,18,32,2025-09-19
257,443,32,23,2025-06-12
258,387,19,7,2024-03-08
259,262,28,39,2024-11-27
260,344,25,40,2025-07-08
261,282,30,3,2024-03-26
262,29,3,21,2024-06-03
263,225,39,5,2025-01-23
264,233,44,19,2026-01-05
265,257,5,32,2024-09-21
266,434,41,0,2025-12-09
267,175,37,28,2024-06-19
268,270,49,5,2024-04-02
269,148,22,18,2025-06-24
270,451,9,28,2025-11-30
271,374,9,43,2025-10-18
272,151,26,35,2025-03-18
273,27,26,41,2025-05-01
274,212,32,1,2025-12-30
275,246,26,26,2025-01-24
276,260,8,38,2025-11-14
277,203,19,25,2025-02-21
278,471,17,13,2026-02-24
279,158,23,8,2025-07-08
280,23,39,3,2024-04-05
281,127,47,14,2025-08-31
282,4,31,17,2024-12-21
283,337,21,46,2025-05-12
284,47,49,48,2024-10-17
285,87,31,25,2025-08-03
286,134,9,0,2025-04-15
287,259,31,7,2024-12-10
288,320,25,14,2024-07-10
289,443,27,44,2024-11-03
290,149,25,10,2025-04-15
291,271,5,37,2024-12-07
292,411,7,39,2025-01-09
293,151,33,6,2025-01-03
294,266,3,45,2025-04-06
295,36,42,40,2025-01-01
296,427,24,35,2026-02-02
297,366,10,33,2025-07-05
298,327,38,20,2024-04-23
299,376,27,15,2024-10-22
300,242,30,13,2026-02-20
301,59,2,32,2026-01-13
302,285,2,41,2024-12-13
303,198,16,7,2024-10-08
304,105,35,41,2024-07-15
305,259,9,18,2025-11-01
306,326,19,30,2025-05-14
307,371,25,11,2024-10-26
308,214,36,5,2024-09-19
309,486,30,0,2025-09-10
310,494,2,31,2025-03-10
311,354,49,50,2024-06-04
312,173,8,0,2025-10-28
313,351,50,32,2025-03-04
314,10,15,18,2025-01-16
315,207,0,17,2025-04-13
316,350,13,13,2024-04-08
317,408,5,10,2025-04-10
318,371,32,9,2026-02-04
319,122,39,5,2024-12-27
320,257,47,14,2025-07-26
321,14,9,36,2024-06-04
322,187,45,49,2025-04-11
323,157,35,16,2026-02-25
324,123,32,8,2024-03-28
325,213,22,47,2025-01-02
326,496,6,36,2024-07-05
327,18,28,50,2025-09-16
328,105,50,29,2025-09-25
329,57,37,18,2024-05-16
330,487,40,1,2024-04-17
331,98,27,35,2024-10-04
332,223,14,45,2025-05-10
333,446,17,34,2024-05-10
334,75,25,47,2025-11-06
335,366,40,50,2024-04-19
336,248,32,21,2025-07-25
337,308,39,44,2024-07-08
338,382,26,5,2024-04-18
339,26,39,48,2025-09-19
340,244,35,23,2025-04-05
341,148,3,42,2025-12-19
342,451,0,7,2025-04-26
343,358,19,42,2024-04-14
344,238,32,34,2024-03-28
345,225,47,15,2024-08-20
346,100,21,13,2025-04-07
347,323,16,10,2025-06-07
348,358,12,8,2025-04-04
349,342,13,46,2024-07-31
350,4,25,22,2025-12-22
351,57,1,22,2025-08-04
352,176,26,23,2024-05-20
353,44,40,41,2024-05-21
354,415,14,7,2024-05-20
355,336,8,21,2025-03-07
356,244,49,32,2025-03-04
357,478,26,32,2024-03-25
358,220,16,43,2025-11-08
359,180,31,25,2025-08-31
360,276,6,28,2025-05-21
361,253,34,27,2024-08-18
362,270,25,0,2025-11-12
363,466,48,14,2024-10-04
364,452,44,30,2024-11-25
365,141,11,40,2024-06-23
366,162,42,3,2025-09-13
367,223,11,46,2024-07-05
368,72,35,19,2026-01-19
369,306,35,29,2025-08-17
370,78,2,33,2024-09-01
371,95,42,2,2025-10-10
372,394,19,15,2025-12-25
373,158,50,5,2025-04-06
374,311,24,31,2025-03-28
375,161,30,32,2025-07-01
376,156,1,17,2025-08-07
377,249,1,14,2024-08-05
378,33,26,35,2026-02-20
379,309,35,26,2025-08-31
380,419,18,45,2025-03-20
381,82,28,12,2025-03-28
382,399,36,39,2025-04-06
383,296,16,49,2025-09-16
384,226,40,47,2025-02-09
385,120,49,5,2025-01-17
386,445,6,21,2025-10-30
387,259,26,32,2024-06-25
388,362,38,45,2024-04-28
389,92,9,24,2024-07-05
390,230,35,29,2025-09-01
391,14,36,28,2025-03-28
392,323,32,16,2024-05-04
393,46,1,1,2025-09-07
394,458,35,34,2024-05-05
395,141,44,49,2024-07-17
396,293,46,40,2024-07-25
397,130,15,12,2025-12-24
398,20,50,36,2025-09-09
399,208,24,26,2025-06-08
400,368,25,13,2024-07-31
401,435,17,19,2024-09-26
402,120,22,44,2026-02-10
403,348,0,2,2026-01-19
404,444,5,38,2025-05-06
405,466,2,24,2024-11-16
406,113,16,49,2024-06-11
407,397,0,49,2025-08-31
408,21,40,41,2025-07-06
409,225,25,41,2024-07-05
410,278,2,16,2025-02-12
411,135,3,0,2026-02-11
412,170,49,27,2026-02-03
413,101,47,42,2024-09-10
414,494,36,0,2025-08-05
415,240,39,12,2024-03-01
416,291,45,31,2024-06-01
417,406,9,27,2025-08-29
418,181,19,34,2025-10-05
419,216,33,1,2025-04-08
420,56,9,14,2024-05-12
421,287,20,39,2024-03-23
422,124,0,50,2024-06-30
423,90,48,47,2024-07-02
424,322,39,15,2025-02-01
425,347,20,25,2025-04-03
426,308,27,18,2024-11-22
427,478,25,12,2024-07-01
428,128,29,46,2024-10-18
429,344,26,10,2025-05-02
430,398,41,38,2025-09-09
431,93,18,46,2024-04-11
432,60,17,2,2024-07-18
433,435,11,35,2024-06-03
434,241,21,3,2024-09-08
435,423,16,49,2025-08-12
436,290,21,29,2025-07-20
437,48,43,42,2025-05-30
438,204,50,32,2025-07-08
439,446,3,1,2025-08-25
440,110,0,12,2025-04-24
441,336,0,15,2026-01-24
442,453,41,0,2024-03-25
443,96,10,8,2024-07-16
444,400,12,29,2024-03-14
445,38,42,2,2025-12-23
446,362,39,11,2025-07-18
447,156,46,27,2024-02-27
448,32,30,24,2024-10-28
449,439,6,13,2025-06-26
450,243,21,3,2026-02-07
451,256,31,32,2024-09-21
452,198,34,9,2025-07-16
453,196,29,3,2026-01-30
454,310,27,49,2024-05-10
455,75,10,16,2024-10-04
456,296,30,49,2025-08-11
457,448,40,9,2025-08-15
458,33,21,37,2024-07-25
459,265,6,46,2024-09-07
460,489,24,26,2025-08-02
461,197,33,49,2024-09-13
462,190,48,5,2024-12-12
463,112,6,39,2024-08-11
464,213,35,33,2026-01-29
465,51,27,12,2024-10-31
466,128,35,24,2025-07-24
467,408,36,43,2025-02-10
468,158,23,44,2025-08-25
469,6,18,47,2026-01-27
470,321,46,31,2024-09-26
471,35,39,11,2025-05-05
472,121,46,9,2025-12-11
473,483,21,45,2024-12-09
474,102,1,18,2024-06-22
475,147,37,45,2025-07-12
476,145,24,18,2024-07-23
477,145,12,24,2025-08-15
478,371,24,49,2025-03-11
479,204,48,36,2025-05-20
480,206,23,35,2025-05-30
481,281,41,5,2024-03-15
482,490,29,17,2025-06-30
483,333,33,39,2026-02-06
484,271,42,4,2024-11-19
485,313,22,17,2025-07-05
486,428,0,5,2026-02-24
487,138,27,9,2026-01-12
488,143,19,37,2025-11-27
489,26,25,15,2026-01-11
490,467,22,48,2024-05-01
491,458,7,25,2025-06-23
492,25,16,38,2025-03-03
493,31,4,44,2024-07-27
494,181,15,11,2024-11-23
495,407,30,49,2025-05-28
496,268,50,8,2025-04-08
497,180,47,13,2025-07-31
498,147,29,22,2024-05-03
499,180,20,2,2025-08-19
500,367,32,32,2025-03-22
501,85,34,14,2025-01-13
502,283,48,40,2026-01-13
503,38,5,25,2025-08-11
504,192,6,6,2024-03-31
505,427,30,39,2026-02-10
506,134,11,36,2026-02-02
507,433,4,28,2025-05-11
508,482,47,11,2026-01-11
509,466,32,3,2025-09-17
510,301,21,30,2025-03-24
511,228,7,19,2024-10-17
512,206,50,17,2024-06-27
513,77,8,4,2024-07-31
514,276,48,15,2025-07-16
515,493,26,35,2024-06-05
516,444,19,23,2024-09-03
517,44,17,17,2025-04-26
518,375,2,24,2024-12-17
519,187,27,31,2025-04-20
520,98,50,18,2025-04-20
521,261,20,46,2025-02-07
522,121,14,44,2025-09-12
523,465,45,10,2026-02-24
524,44,35,20,2024-10-04
525,284,9,9,2024-07-16
526,461,36,10,2026-02-07
527,290,41,29,2024-02-29
528,365,36,17,2025-05-18
529,14,9,6,2026-02-08
530,362,20,42,2025-02-19
531,19,8,47,2025-06-29
532,461,36,16,2025-12-23
533,316,32,38,2025-03-09
534,279,24,44,2025-09-08
535,295,50,27,2025-04-13
536,15,8,26,2024-03-14
537,124,34,21,2025-11-07
538,341,36,28,2025-08-02
539,135,7,13,2025-06-02
540,15,38,24,2024-05-08
541,474,10,35,2024-06-18
542,260,15,5,2025-05-05
543,40,8,41,2025-12-31
544,356,49,2,2024-07-01
545,152,34,14,2024-04-25
546,222,14,1,2024-12-27
547,244,18,8,2026-01-16
548,428,28,20,2025-10-29
549,85,19,49,2024-11-01
550,172,35,27,2025-08-03
551,453,13,16,2025-10-20
552,139,0,20,2024-07-21
553,346,34,12,2025-03-01
554,204,34,48,2024-04-09
555,413,16,13,2025-11-12
556,19,45,39,2025-03-31
557,125,22,35,2025-04-19
558,103,14,2,2024-07-17
559,26,12,32,2024-12-24
560,481,34,16,2026-01-14
561,302,24,39,2024-08-07
562,304,10,0,2024-10-31
563,338,21,15,2024-12-15
564,171,2,28,2025-01-29
565,35,34,31,2025-08-09
566,32,21,46,2025-01-29
567,71,16,19,2025-01-06
568,432,21,15,2026-01-13
569,45,29,0,2024-04-13
570,241,43,33,2025-06-06
571,116,22,4,2024-09-09
572,293,36,14,2026-02-24
573,82,14,25,2025-07-17
574,363,22,13,2024-06-03
575,46,43,0,2025-02-17
576,217,0,3,2025-02-15
577,165,19,41,2025-02-10
578,373,32,50,2024-05-27
579,296,31,37,2026-01-27
580,70,46,2,2024-03-26
581,201,47,4,2025-12-12
582,89,28,39,2025-03-17
583,22,42,24,2024-07-12
584,291,14,10,2024-11-16
585,443,26,43,2025-06-20
586,125,19,27,2025-04-15
587,226,5,22,2025-09-01
588,446,7,22,2024-08-10
589,98,1,26,2025-08-11
590,110,35,5,2025-11-01
591,146,44,34,2025-01-05
592,434,17,12,2024-12-17
593,424,4,38,2025-02-17
594,163,2,30,2024-03-05
595,32,13,0,2025-05-08
596,175,25,42,2025-04-26
597,283,4,50,2025-09-05
598,413,18,9,2025-05-23
599,339,37,26,2025-07-07
600,199,37,36,2024-09-17
601,169,18,2,2025-06-11
602,133,4,22,2025-12-05
603,104,24,21,2025-09-02
604,69,12,38,2025-10-22
605,466,29,3,2025-11-04
606,490,22,25,2024-08-21
607,486,28,32,2024-09-11
608,423,21,5,2025-06-06
609,165,11,21,2025-11-27
610,379,49,1,2025-05-08
611,39,39,49,2024-04-12
612,434,19,39,2025-10-01
613,7,20,18,2025-01-30
614,324,49,25,2025-01-31
615,391,31,22,2025-06-29
616,437,4,49,2024-03-09
617,179,15,22,2024-04-25
618,372,21,24,2024-03-05
619,71,23,49,2024-10-03
620,44,13,14,2024-09-14
621,439,36,42,2026-02-13
622,98,40,27,2025-02-15
623,363,48,37,2024-09-23
624,284,21,26,2024-09-19
625,122,18,47,2026-02-10
626,87,20,49,2025-02-21
627,442,41,49,2024-10-13
628,239,21,16,2024-08-08
629,399,2,21,2025-09-22
630,284,30,30,2025-08-17
631,231,17,19,2025-01-02
632,230,44,50,2024-05-07
633,171,4,20,2024-03-29
634,58,27,13,2024-05-30
635,462,0,28,2026-02-22
636,175,4,15,2024-05-30
637,492,50,38,2024-10-25
638,365,48,23,2024-08-31
639,162,20,14,2025-08-19
640,427,34,33,2025-11-05
641,70,42,15,2024-09-05
642,390,22,22,2024-08-30
643,383,47,22,2025-11-13
644,126,40,30,2025-04-02
645,89,34,39,2024-04-15
646,282,39,2,2024-11-09
647,385,0,23,2024-06-20
648,437,31,35,2024-02-29
649,225,0,25,2025-03-29
650,182,18,19,2026-02-08
651,285,11,4,2024-08-14
652,80,44,14,2025-01-12
653,207,50,22,2024-11-29
654,185,44,47,2024-08-26
655,29,19,30,2024-06-02
656,137,35,0,2025-11-21
657,306,36,8,2025-11-28
658,210,31,23,2024-04-27
659,156,15,43,2025-12-04
660,265,10,32,2024-08-27
661,85,13,7,2024-03-27
662,336,21,8,2026-02-03
663,39,40,50,2025-12-17
664,36,6,26,2024-07-21
665,289,17,35,2025-12-03
666,159,13,32,2026-01-31
667,251,15,35,2025-04-07
668,178,42,12,2024-03-19
669,165,42,2,2024-02-28
670,201,48,14,2024-08-30
671,343,6,23,2025-03-22
672,374,22,28,2024-09-03
673,92,14,42,2024-11-07
674,172,11,36,2024-04-30
675,38,1,45,2025-08-19
676,395,28,45,2025-02-07
677,123,50,29,2024-03-13
678,273,48,34,2025-08-19
679,427,6,15,2025-06-19
680,413,2,47,2025-05-25
681,56,25,16,2024-05-24
682,125,38,6,2024-04-14
683,148,17,3,2025-07-11
684,56,41,23,2025-06-14
685,295,46,43,2025-02-18
686,225,7,35,2025-02-08
687,185,41,36,2025-09-26
688,433,3,50,2025-04-14
689,157,31,18,2024-09-04
690,448,26,15,2025-07-27
691,229,42,49,2026-01-21
692,456,43,24,2025-12-01
693,162,14,3,2024-07-23
694,64,49,25,2024-06-05
695,330,34,43,2024-04-30
696,122,2,11,2024-05-11
697,169,46,12,2024-09-10
698,468,28,40,2026-01-26
699,12,42,32,2025-04-25
700,92,19,30,2024-11-25
701,446,40,14,2025-08-07
702,318,3,1,2025-07-28
703,290,38,14,2025-07-30
704,157,3,41,2026-01-18
705,179,46,10,2024-05-16
706,80,5,4,2024-07-08
707,488,26,41,2025-05-29
708,373,37,38,2024-03-23
709,130,39,41,2024-09-10
710,31,33,40,2025-08-21
711,72,15,2,2025-07-07
712,490,28,18,2024-04-07
713,45,37,36,2025-01-01
714,144,32,24,2025-02-24
715,186,22,44,2024-05-10
716,383,44,44,2024-05-14
717,463,45,1,2025-02-14
718,431,9,33,2024-12-18
719,120,0,8,2025-09-03
720,280,20,15,2024-07-17
721,4,8,7,2025-11-24
722,76,38,14,2025-01-21
723,55,8,40,2024-08-22
724,446,27,0,2025-01-24
725,240,27,8,2025-02-08
726,244,24,5,2024-12-20
727,67,22,39,2024-06-02
728,318,48,5,2025-05-14
729,305,9,38,2025-07-31
730,108,20,43,2026-01-12
731,364,36,14,2025-12-02
732,144,4,49,2025-03-14
733,58,36,6,2024-09-30
734,378,23,12,2025-09-24
735,2,9,48,2024-10-31
736,130,16,30,2024-03-04
737,440,8,0,2026-02-23
738,296,11,40,2025-11-13
739,234,42,16,2025-08-26
740,80,2,35,2025-10-31
741,356,17,18,2025-08-11
742,86,11,30,2025-10-08
743,165,3,36,2024-04-09
744,35,2,41,2025-03-09
745,494,47,47,2025-10-05
746,89,22,20,2025-12-09
747,217,26,32,2024-02-29
748,165,48,28,2025-08-01
749,303,49,42,2026-01-11
750,464,11,30,2024-09-07
751,155,0,19,2025-05-15
752,328,37,23,2024-07-14
753,129,5,33,2025-06-13
754,463,32,2,2026-01-27
755,168,31,30,2024-09-30
756,442,49,32,2025-03-22
757,365,36,6,2025-08-24
758,141,27,19,2024-12-14
759,177,30,0,2024-12-04
760,73,42,28,2025-07-01
761,280,7,26,2025-11-21
762,320,0,4,2025-07-02
763,186,47,26,2025-04-20
764,397,40,21,2024-11-10
765,480,34,46,2024-08-14
766,308,5,0,2025-08-17
767,372,46,21,2024-09-17
768,487,28,11,2024-10-30
769,172,37,16,2025-10-18
770,176,6,49,2025-07-06
771,169,22,42,2025-06-22
772,471,34,11,2026-01-16
773,170,14,6,2024-11-06
774,24,47,0,2024-08-27
775,462,24,19,2026-02-10
776,283,39,4,2024-03-25
777,240,25,5,2024-09-12
778,197,27,2,2025-12-16
779,469,40,30,2024-10-09
780,378,43,7,2025-11-14
781,344,31,17,2024-12-15
782,204,0,34,2025-10-03
783,27,7,50,2025-06-06
784,443,1,7,2025-07-25
785,350,9,20,2025-10-23
786,1,47,25,2024-06-06
787,494,8,26,2025-05-19
788,24,42,23,2024-09-19
789,463,27,45,2025-10-21
790,275,48,30,2024-05-12
791,453,9,46,2025-12-14
792,385,49,38,2025-06-16
793,92,31,30,2025-10-14
794,142,35,17,2024-12-19
795,194,35,5,2024-09-26
796,44,23,38,2024-03-16
797,219,9,48,2025-01-04
798,231,34,1,2025-03-27
799,159,45,24,2026-01-15
800,51,36,5,2024-10-06
801,275,5,5,2025-02-17
802,174,7,50,2025-05-16
803,299,28,25,2025-12-04
804,378,41,11,2024-06-25
805,338,19,0,2025-10-06
806,1,41,43,2024-03-21
807,61,44,45,2025-06-30
808,390,12,26,2024-04-11
809,428,39,7,2025-07-20
810,16,43,36,2025-12-05
811,240,42,2,2024-06-03
812,318,14,11,2024-09-10
813,208,50,39,2025-08-28
814,331,23,30,2024-10-15
815,18,37,23,2025-01-02
816,110,4,4,2025-11-02
817,485,18,40,2025-11-07
818,271,24,42,2024-11-22
819,101,33,32,2025-01-01
820,109,45,21,2024-04-21
821,213,17,33,2025-09-25
822,385,41,17,2024-07-10
823,449,10,13,2024-09-14
824,362,49,29,2024-06-05
825,288,25,27,2025-04-08
826,31,29,25,2026-01-02
827,164,18,12,2024-12-01
828,368,19,27,2025-11-13
829,310,0,22,2025-12-26
830,190,21,49,2024-04-29
831,334,30,40,2025-02-02
832,407,5,40,2025-11-15
833,498,47,21,2024-09-10
834,157,8,11,2024-04-06
835,170,33,44,2024-12-06
836,410,11,16,2024-05-07
837,285,1,41,2025-02-28
838,207,40,27,2024-11-16
839,43,27,42,2024-04-21
840,430,42,29,2025-03-28
841,180,33,50,2025-06-15
842,19,43,8,2024-08-09
843,374,0,6,2024-03-11
844,58,39,16,2025-09-20
845,92,1,37,2024-04-16
846,422,34,23,2025-09-19
847,179,25,34,2025-02-21
848,173,12,45,2025-06-20
849,346,9,30,2026-01-28
850,359,8,12,2024-10-22
851,317,24,1,2026-02-18
852,171,9,2,2025-01-04
853,80,33,1,2025-02-18
854,492,41,20,2026-02-24
855,234,41,15,2025-11-25
856,144,29,14,2024-08-14
857,264,13,15,2024-04-20
858,99,15,26,2024-06-06
859,483,48,28,2025-05-18
860,374,2,9,2024-08-23
861,127,36,12,2026-02-05
862,41,47,5,2025-03-20
863,238,20,40,2024-11-30
864,129,25,46,2026-02-26
865,338,25,8,2025-10-05
866,166,24,10,2024-09-27
867,460,37,29,2024-06-30
868,152,18,28,2024-04-20
869,278,19,13,2024-10-28
870,373,28,1,2024-03-05
871,498,33,26,2024-06-29
872,457,20,15,2024-11-18
873,385,4,49,2025-06-10
874,102,27,19,2025-08-06
875,120,45,46,2025-02-20
876,438,5,16,2025-03-29
877,251,24,17,2024-05-07
878,321,2,39,2026-01-20
879,127,37,4,2025-02-02
880,156,37,11,2024-08-06
881,437,18,6,2025-11-28
882,278,30,37,2024-03-19
883,209,40,39,2024-03-08
884,4,49,16,2026-02-20
885,9,13,12,2025-05-08
886,109,22,42,2025-12-13
887,440,4,8,2025-09-16
888,180,26,29,2025-05-16
889,294,37,0,2024-07-27
890,28,19,30,2025-06-22
891,477,12,39,2024-10-19
892,57,15,11,2024-05-29
893,214,26,34,2024-06-27
894,292,23,2,2025-08-29
895,369,22,47,2025-02-21
896,7,27,43,2026-01-26
897,454,23,0,2025-01-19
898,197,6,14,2025-06-24
899,168,6,41,2025-11-05
900,203,14,13,2024-06-25
901,338,1,23,2025-03-03
902,303,18,47,2025-02-03
903,220,31,28,2025-08-12
904,431,15,39,2025-11-15
905,417,40,49,2025-03-08
906,276,43,8,2024-09-10
907,41,30,7,2025-03-12
908,210,28,33,2024-11-18
909,351,48,46,2026-02-10
910,397,3,26,2025-06-26
911,343,35,35,2024-04-10
912,346,45,19,2025-06-25
913,214,27,48,2026-01-08
914,220,33,37,2025-11-04
915,378,39,44,2025-03-28
916,230,47,39,2024-12-13
917,381,14,13,2024-12-13
918,43,34,16,2025-02-22
919,82,32,36,2024-09-03
920,244,26,37,2026-01-05
921,271,47,44,2024-09-19
922,5,7,29,2025-04-20
923,328,8,9,2024-03-24
924,23,35,24,2024-10-27
925,42,38,11,2024-04-04
926,116,0,49,2025-07-20
927,44,43,35,2024-04-01
928,436,22,48,2025-09-05
929,182,39,40,2025-08-07
930,448,44,38,2025-05-23
