delivery_id,order_id,shipped_date,delivered_date,status
101,101,2024-11-19,2025-09-03,Lost
102,102,2024-10-17,2025-12-20,Delivered
103,103,2024-08-14,2025-10-16,Lost
104,104,2024-07-31,2025-05-27,Lost
105,105,2024-09-04,2025-11-12,Delayed
106,106,2025-05-03,2025-12-11,Delayed
107,107,2025-11-05,2025-11-30,Lost
108,108,2025-09-11,2025-10-30,Delivered
109,109,2024-11-27,2025-07-19,Delivered
110,110,2025-11-04,2025-12-03,Delivered
111,111,2024-09-13,2025-12-21,Delayed
112,112,2025-03-01,2026-01-17,Delivered
113,113,2025-10-27,2025-12-10,Delayed
114,114,2025-06-07,2025-12-13,Delayed
115,115,2025-10-01,2026-01-20,Delayed
116,116,2024-03-07,2025-09-19,Delivered
117,117,2026-02-12,2026-02-22,Lost
118,118,2024-05-17,2024-08-01,Lost
119,119,2024-05-06,2025-04-02,Delivered
120,120,2024-07-27,2025-06-16,Delivered
121,121,2025-04-20,2025-12-22,Delivered
122,122,2024-08-17,2025-05-23,Lost
123,123,2024-03-24,2025-09-27,Delivered
124,124,2025-06-04,2025-12-15,Delivered
125,125,2024-03-02,2024-07-14,Lost
126,126,2024-04-27,2025-11-21,Delivered
127,127,2025-11-29,2026-02-19,Lost
128,128,2024-05-11,2024-05-30,Lost
129,129,2025-08-04,2025-12-18,Delivered
130,130,2024-04-11,2025-05-16,Delivered
131,131,2024-05-11,2024-06-11,Delivered
132,132,2026-02-10,2026-02-16,Delivered
133,133,2024-11-22,2025-01-04,Delivered
134,134,2024-09-26,2025-09-13,Delayed
135,135,2025-11-07,2026-01-13,Lost
136,136,2025-01-02,2025-03-26,Delivered
137,137,2024-11-06,2025-06-06,Lost
138,138,2026-01-21,2026-02-06,Delivered
139,139,2024-06-26,2024-10-05,Delayed
140,140,2026-02-11,2026-02-18,Lost
141,141,2024-12-11,2026-01-25,Delayed
142,142,2024-11-16,2025-02-22,Delivered
143,143,2025-11-07,2025-12-13,Delayed
144,144,2025-07-02,2025-11-03,Delivered
145,145,2026-02-16,2026-02-26,Delayed
146,146,2024-11-26,2024-12-03,Delayed
147,147,2024-10-12,2025-06-20,Lost
148,148,2025-08-05,2025-08-08,Lost
149,149,2025-06-29,2026-01-09,Delivered
150,150,2025-12-11,2025-12-26,Lost
151,151,2025-08-06,2025-09-23,Lost
152,152,2024-06-01,2025-10-17,Lost
153,153,2025-04-09,2025-12-07,Delayed
154,154,2024-08-21,2025-09-23,Delivered
155,155,2025-07-18,2026-02-15,Delivered
156,156,2025-10-14,2026-01-15,Delayed
157,157,2024-08-26,2024-12-10,Delayed
158,158,2024-12-25,2025-07-17,Delivered
159,159,2024-07-13,2025-05-09,Delayed
160,160,2025-01-18,2025-03-05,Delivered
161,161,2025-04-04,2025-08-20,Lost
162,162,2025-10-17,2025-11-19,Delayed
163,163,2025-04-05,2025-11-10,Lost
164,164,2024-07-01,2025-01-13,Delayed
165,165,2024-06-19,2025-02-25,Delayed
166,166,2025-09-05,2025-10-12,Lost
167,167,2025-10-16,2025-11-11,Lost
168,168,2024-12-15,2026-01-15,Delayed
169,169,2025-11-02,2026-02-12,Delayed
170,170,2024-10-09,2026-02-20,Delivered
171,171,2026-01-25,2026-02-06,Delivered
172,172,2024-02-27,2024-05-28,Delayed
173,173,2024-08-19,2025-04-18,Delivered
174,174,2025-09-10,2025-11-02,Delayed
175,175,2025-09-16,2025-10-11,Lost
176,176,2026-02-23,2026-02-23,Lost
177,177,2025-12-26,2026-02-23,Lost
178,178,2025-01-19,2025-11-08,Lost
179,179,2025-02-09,2025-04-20,Lost
180,180,2026-01-20,2026-02-21,Delayed
181,181,2024-07-16,2024-08-29,Delivered
182,182,2025-11-09,2026-02-05,Delivered
183,183,2026-02-08,2026-02-16,Delayed
184,184,2025-04-08,2025-11-12,Delayed
185,185,2024-04-27,2025-02-19,Delivered
186,186,2024-11-18,2025-06-15,Lost
187,187,2025-06-26,2025-07-09,Delivered
188,188,2025-10-20,2026-02-15,Lost
189,189,2024-07-14,2026-01-27,Delivered
190,190,2025-07-04,2025-12-11,Lost
191,191,2025-04-21,2025-04-29,Delivered
192,192,2024-09-08,2025-04-10,Delayed
193,193,2024-12-24,2026-02-06,Delivered
194,194,2025-05-29,2025-06-27,Lost
195,195,2026-02-21,2026-02-23,Delayed
196,196,2024-12-28,2025-10-13,Delayed
197,197,2024-09-11,2025-03-13,Delayed
198,198,2025-08-28,2025-10-01,Lost
199,199,2024-11-11,2025-04-23,Delivered
200,200,2025-11-26,2026-02-15,Delayed
201,201,2025-10-03,2025-11-29,Lost
202,202,2024-08-20,2025-08-16,Delivered
203,203,2025-09-19,2025-11-02,Lost
204,204,2025-03-25,2026-01-09,Delayed
205,205,2024-08-24,2025-06-25,Delivered
206,206,2024-03-02,2025-12-08,Lost
207,207,2026-02-07,2026-02-17,Lost
208,208,2026-01-02,2026-02-01,Delivered
209,209,2025-11-09,2025-11-13,Delayed
210,210,2024-12-27,2025-04-19,Delivered
211,211,2026-02-11,2026-02-21,Delivered
212,212,2024-04-16,2024-10-13,Delayed
213,213,2024-05-19,2025-04-05,Delivered
214,214,2025-11-13,2026-02-12,Lost
215,215,2024-11-01,2025-09-20,Delayed
216,216,2024-06-11,2024-07-14,Delayed
217,217,2024-04-02,2026-01-29,Lost
218,218,2025-05-06,2026-02-24,Lost
219,219,2025-10-10,2025-12-03,Delivered
220,220,2025-04-04,2025-06-25,Delayed
221,221,2025-03-29,2025-10-30,Delayed
222,222,2025-11-23,2025-12-04,Delayed
223,223,2024-12-28,2025-06-22,Delivered
224,224,2024-05-02,2026-02-01,Lost
225,225,2024-08-31,2024-10-14,Delivered
226,226,2024-12-31,2025-03-20,Lost
227,227,2026-01-09,2026-01-16,Delivered
228,228,2024-04-12,2024-06-21,Lost
229,229,2025-04-16,2025-08-19,Delayed
230,230,2026-02-20,2026-02-24,Delayed
231,231,2025-07-28,2025-12-05,Lost
232,232,2024-03-16,2025-03-27,Delivered
233,233,2025-02-22,2025-10-12,Delivered
234,234,2024-12-11,2025-07-15,Delivered
235,235,2024-08-15,2025-11-02,Delivered
236,236,2025-08-02,2025-12-20,Lost
237,237,2026-02-24,2026-02-25,Delayed
238,238,2024-11-07,2026-01-05,Delayed
239,239,2025-12-16,2025-12-24,Delivered
240,240,2025-01-22,2026-01-06,Delivered
241,241,2024-12-31,2025-09-28,Lost
242,242,2026-01-05,2026-02-25,Delayed
243,243,2024-04-24,2024-08-17,Delivered
244,244,2025-12-03,2026-01-13,Lost
245,245,2026-02-08,2026-02-14,Delayed
246,246,2025-11-16,2025-11-20,Lost
247,247,2024-07-13,2025-04-17,Delayed
248,248,2024-09-02,2026-01-28,Delivered
249,249,2025-06-03,2025-09-07,Lost
250,250,2024-10-21,2025-12-06,Delayed
251,251,2025-08-09,2025-10-12,Lost
252,252,2025-12-14,2026-01-06,Delayed
253,253,2024-12-05,2025-11-16,Delivered
254,254,2026-01-12,2026-02-25,Delivered
255,255,2025-09-18,2025-12-03,Lost
256,256,2024-12-30,2025-01-01,Delayed
257,257,2024-11-27,2025-10-26,Delayed
258,258,2025-07-17,2026-01-25,Delayed
259,259,2025-07-21,2025-10-16,Lost
260,260,2024-03-19,2024-07-08,Lost
261,261,2025-11-11,2026-02-03,Lost
262,262,2024-04-09,2025-02-01,Delayed
263,263,2025-04-03,2025-10-21,Lost
264,264,2024-08-01,2025-09-08,Lost
265,265,2024-05-25,2026-01-29,Delivered
266,266,2024-09-14,2025-05-05,Delayed
267,267,2025-07-19,2025-12-16,Delayed
268,268,2025-06-09,2025-07-22,Delayed
269,269,2024-12-09,2025-01-06,Delayed
270,270,2026-02-17,2026-02-20,Delivered
271,271,2024-06-13,2025-03-19,Lost
272,272,2025-11-10,2025-12-13,Delivered
273,273,2025-06-23,2026-01-31,Delayed
274,274,2026-01-23,2026-02-21,Delivered
275,275,2024-08-04,2025-12-29,Delivered
276,276,2025-06-12,2025-11-08,Delivered
277,277,2026-01-26,2026-01-28,Delayed
278,278,2024-08-23,2025-10-25,Delayed
279,279,2025-06-29,2025-07-09,Delayed
280,280,2026-02-03,2026-02-12,Delivered
281,281,2024-11-20,2025-09-17,Lost
282,282,2024-03-18,2025-03-31,Delivered
283,283,2025-11-02,2026-02-06,Delayed
284,284,2025-12-18,2026-02-09,Lost
285,285,2025-09-01,2025-11-18,Lost
286,286,2024-12-10,2025-02-13,Lost
287,287,2025-10-18,2026-01-13,Lost
288,288,2025-11-15,2026-01-10,Delayed
289,289,2024-09-12,2025-04-02,Delivered
290,290,2025-09-09,2025-11-29,Delivered
291,291,2024-12-21,2025-08-22,Delivered
292,292,2024-07-14,2025-04-19,Delivered
293,293,2025-11-09,2026-01-10,Lost
294,294,2025-01-16,2025-12-26,Delayed
295,295,2024-06-23,2024-06-30,Delayed
296,296,2024-12-06,2025-03-10,Delivered
297,297,2024-12-10,2025-07-28,Delayed
298,298,2024-05-15,2025-07-11,Lost
299,299,2024-12-28,2025-06-04,Lost
300,300,2024-07-13,2025-03-16,Lost
301,301,2024-11-09,2025-10-05,Lost
302,302,2025-10-10,2025-12-02,Delayed
303,303,2024-10-16,2025-02-02,Lost
304,304,2025-03-25,2025-08-08,Delayed
305,305,2024-09-18,2025-01-14,Lost
306,306,2026-01-07,2026-01-26,Lost
307,307,2025-11-10,2026-01-27,Lost
308,308,2025-07-15,2025-08-10,Delayed
309,309,2025-01-03,2025-05-14,Delayed
310,310,2024-03-07,2025-02-22,Lost
311,311,2026-01-11,2026-01-14,Delivered
312,312,2024-06-05,2024-12-14,Delivered
313,313,2024-09-06,2025-03-19,Delivered
314,314,2024-10-03,2025-02-16,Delivered
315,315,2024-03-21,2024-09-05,Lost
316,316,2025-01-30,2026-01-22,Lost
317,317,2025-01-02,2026-01-31,Delayed
318,318,2024-05-18,2025-07-17,Lost
319,319,2025-10-07,2026-02-26,Delayed
320,320,2024-12-28,2025-02-23,Delivered
321,321,2024-06-28,2024-11-21,Lost
322,322,2025-04-02,2026-01-26,Lost
323,323,2025-08-31,2025-10-20,Lost
324,324,2024-06-04,2024-11-16,Lost
325,325,2024-04-10,2026-02-11,Lost
326,326,2025-06-12,2026-02-07,Lost
327,327,2024-11-11,2025-10-09,Delayed
328,328,2024-07-04,2024-10-23,Delayed
329,329,2025-03-01,2025-06-15,Lost
330,330,2025-06-09,2025-11-22,Delayed
331,331,2026-01-22,2026-02-12,Lost
332,332,2024-06-08,2025-08-28,Delivered
333,333,2025-04-06,2025-07-19,Delayed
334,334,2025-04-16,2025-09-21,Lost
335,335,2025-01-30,2025-08-27,Lost
336,336,2024-11-07,2026-02-22,Delivered
337,337,2025-08-02,2026-02-25,Delayed
338,338,2026-01-31,2026-02-16,Delayed
339,339,2025-02-07,2025-07-02,Lost
340,340,2024-08-03,2025-03-19,Delivered
341,341,2025-09-14,2025-10-31,Lost
342,342,2024-05-05,2025-11-23,Delayed
343,343,2024-06-07,2026-02-02,Delivered
344,344,2025-12-28,2026-01-23,Delivered
345,345,2025-06-12,2025-06-20,Lost
346,346,2024-11-07,2025-09-20,Lost
347,347,2025-11-22,2026-01-23,Delivered
348,348,2024-06-01,2024-11-27,Delivered
349,349,2024-04-30,2025-06-22,Delayed
350,350,2025-08-06,2026-02-23,Delayed
351,351,2024-06-30,2025-01-29,Lost
352,352,2025-06-28,2025-09-05,Delivered
353,353,2025-04-14,2025-07-16,Delayed
354,354,2024-07-05,2024-08-23,Lost
355,355,2025-06-18,2025-12-07,Lost
356,356,2025-04-29,2025-11-16,Delivered
357,357,2025-08-08,2026-01-14,Delivered
358,358,2025-06-03,2025-12-29,Lost
359,359,2025-01-06,2025-10-24,Delayed
360,360,2025-10-01,2025-11-17,Delayed
361,361,2024-11-15,2025-08-01,Lost
362,362,2024-04-28,2026-01-18,Delivered
363,363,2025-12-15,2026-02-03,Delayed
364,364,2024-11-07,2025-08-05,Delayed
365,365,2024-08-13,2025-02-28,Delivered
366,366,2025-04-10,2025-06-01,Lost
367,367,2025-11-17,2025-11-23,Delivered
368,368,2025-06-24,2025-06-24,Delivered
369,369,2025-06-23,2026-01-02,Lost
370,370,2026-01-23,2026-01-29,Lost
371,371,2024-03-01,2024-03-12,Delayed
372,372,2026-01-12,2026-01-29,Lost
373,373,2024-08-06,2025-01-29,Delivered
374,374,2025-04-29,2026-02-22,Delivered
375,375,2024-09-15,2024-09-15,Delayed
376,376,2025-01-05,2025-08-05,Delivered
377,377,2025-04-20,2026-02-12,Delayed
378,378,2025-02-10,2026-02-07,Lost
379,379,2024-04-04,2025-07-27,Delivered
380,380,2024-05-20,2026-02-04,Lost
381,381,2024-10-15,2026-01-10,Lost
382,382,2025-05-27,2025-05-31,Lost
383,383,2025-10-20,2026-01-14,Lost
384,384,2025-04-14,2025-11-23,Lost
385,385,2025-12-07,2025-12-28,Delayed
386,386,2025-04-29,2025-08-05,Lost
387,387,2025-01-02,2025-09-25,Delivered
388,388,2025-06-20,2025-11-29,Delivered
389,389,2025-04-22,2025-04-25,Delivered
390,390,2024-12-18,2025-04-03,Delayed
391,391,2025-06-12,2026-01-22,Lost
392,392,2025-06-05,2025-08-16,Delayed
393,393,2025-08-05,2025-08-16,Delivered
394,394,2024-08-11,2024-09-05,Lost
395,395,2025-11-04,2026-01-21,Delayed
396,396,2025-08-04,2026-02-18,Delayed
397,397,2024-07-11,2025-08-08,Lost
398,398,2024-08-12,2024-10-02,Lost
399,399,2025-07-03,2025-07-22,Delayed
400,400,2024-07-22,2025-05-31,Lost
401,401,2025-09-24,2026-01-31,Delayed
402,402,2025-01-11,2025-11-25,Lost
403,403,2024-09-22,2025-05-30,Lost
404,404,2025-06-09,2025-11-17,Delivered
405,405,2024-10-13,2025-12-01,Delivered
406,406,2024-04-19,2025-06-03,Delivered
407,407,2024-09-09,2026-01-07,Delayed
408,408,2025-07-08,2026-02-17,Delivered
409,409,2024-11-24,2025-09-19,Lost
410,410,2025-11-18,2026-01-04,Delayed
411,411,2026-01-14,2026-02-05,Delayed
412,412,2025-02-14,2025-03-06,Delivered
413,413,2025-10-19,2025-12-08,Delayed
414,414,2024-05-24,2025-10-20,Delayed
415,415,2024-08-10,2025-06-15,Lost
416,416,2025-05-19,2025-08-12,Lost
417,417,2026-01-29,2026-02-17,Lost
418,418,2025-02-09,2026-01-30,Delayed
419,419,2025-12-29,2026-02-08,Delivered
420,420,2025-05-16,2025-06-19,Lost
421,421,2025-09-03,2025-10-03,Lost
422,422,2025-10-26,2025-11-04,Delivered
423,423,2025-06-19,2025-07-09,Lost
424,424,2024-03-21,2025-10-26,Delayed
425,425,2024-03-11,2025-08-22,Delayed
426,426,2024-08-21,2025-07-10,Delayed
427,427,2026-02-02,2026-02-04,Lost
428,428,2024-04-28,2025-12-11,Lost
429,429,2024-04-18,2025-01-29,Delayed
430,430,2025-12-20,2026-02-10,Delayed
431,431,2024-07-17,2025-03-29,Delayed
432,432,2024-03-14,2025-02-01,Lost
433,433,2025-02-15,2025-04-10,Lost
434,434,2025-11-03,2026-01-07,Delayed
435,435,2024-11-24,2025-07-20,Delivered
436,436,2025-12-29,2026-02-22,Delayed
437,437,2025-11-12,2026-02-18,Lost
438,438,2025-02-12,2025-12-21,Lost
439,439,2025-05-10,2025-06-01,Delivered
440,440,2025-01-28,2025-08-07,Delayed
441,441,2025-09-26,2025-11-05,Delivered
442,442,2026-02-14,2026-02-15,Delivered
443,443,2024-08-25,2024-11-19,Delivered
444,444,2024-03-13,2024-04-28,Delayed
445,445,2025-04-10,2025-06-12,Lost
446,446,2025-06-11,2025-09-30,Delayed
447,447,2025-05-06,2025-06-21,Lost
448,448,2025-12-27,2026-02-09,Delayed
449,449,2024-07-12,2025-10-11,Delivered
450,450,2025-06-03,2025-12-02,Delivered
451,451,2024-10-16,2025-04-18,Delayed
452,452,2024-12-26,2025-11-12,Delivered
453,453,2025-07-15,2025-12-30,Delivered
454,454,2025-06-28,2025-09-14,Delivered
455,455,2024-09-26,2025-11-30,Delivered
456,456,2025-11-05,2026-02-15,Lost
457,457,2025-03-16,2025-12-29,Delivered
458,458,2024-09-14,2025-12-22,Delayed
459,459,2024-06-27,2025-07-10,Lost
460,460,2024-10-26,2025-11-17,Delayed
461,461,2025-11-23,2026-01-21,Delivered
462,462,2025-08-07,2026-02-07,Delivered
463,463,2024-10-26,2025-09-29,Delayed
464,464,2024-04-17,2024-11-06,Delayed
465,465,2025-03-25,2025-04-16,Delivered
466,466,2024-12-23,2025-08-10,Delivered
467,467,2024-12-05,2025-05-28,Delivered
468,468,2024-04-27,2025-01-13,Delayed
469,469,2025-09-29,2026-02-26,Delivered
470,470,2025-11-13,2025-12-14,Delayed
471,471,2024-06-29,2024-10-14,Lost
472,472,2025-10-11,2025-12-29,Lost
473,473,2024-05-10,2024-07-12,Lost
474,474,2025-09-15,2026-02-01,Delivered
475,475,2024-03-29,2025-03-16,Lost
476,476,2024-11-22,2026-02-05,Delivered
477,477,2024-09-15,2025-11-03,Delivered
478,478,2025-01-18,2025-12-24,Delayed
479,479,2024-10-25,2025-12-19,Lost
480,480,2025-06-26,2025-10-28,Delayed
481,481,2024-10-01,2024-11-21,Lost
482,482,2025-05-15,2025-07-24,Delivered
483,483,2025-07-24,2025-09-29,Delivered
484,484,2025-11-14,2025-12-11,Delayed
485,485,2025-09-19,2025-09-21,Delayed
486,486,2024-11-01,2026-01-26,Delivered
487,487,2025-10-15,2025-11-01,Delayed
488,488,2025-11-30,2026-01-09,Delivered
489,489,2024-07-30,2025-08-03,Lost
490,490,2024-08-23,2024-10-22,Delivered
491,491,2025-05-17,2026-02-01,Delayed
492,492,2024-12-03,2025-07-23,Lost
493,493,2025-10-30,2026-02-10,Delayed
494,494,2024-09-07,2025-01-30,Delivered
495,495,2025-12-26,2026-02-17,Lost
496,496,2025-08-26,2025-11-21,Delivered
497,497,2025-11-09,2025-11-23,Delayed
498,498,2024-08-22,2025-08-22,Delayed
499,499,2025-12-04,2026-02-13,Delivered
500,500,2025-08-28,2026-02-20,Delayed
501,501,2024-12-11,2026-01-11,Delivered
502,502,2026-01-27,2026-02-15,Lost
503,503,2025-03-31,2026-01-15,Delayed
504,504,2024-06-24,2024-10-25,Delivered
505,505,2024-11-22,2026-02-24,Delayed
506,506,2024-05-25,2024-11-16,Delivered
507,507,2025-12-25,2026-02-18,Lost
508,508,2025-01-13,2026-01-31,Lost
509,509,2025-07-18,2025-10-07,Delayed
510,510,2024-04-21,2024-05-01,Lost
511,511,2024-09-08,2024-12-24,Delivered
512,512,2025-04-24,2025-06-01,Delayed
513,513,2026-01-10,2026-02-25,Delivered
514,514,2025-05-15,2025-06-26,Delivered
515,515,2025-04-24,2025-07-31,Delivered
516,516,2025-12-10,2025-12-31,Delivered
517,517,2024-04-23,2024-04-25,Delivered
518,518,2024-10-17,2025-05-17,Lost
519,519,2025-09-02,2026-01-21,Lost
520,520,2025-11-22,2025-12-06,Delayed
521,521,2025-09-20,2025-09-26,Delivered
522,522,2025-12-31,2026-01-16,Delivered
523,523,2025-04-21,2025-07-07,Delivered
524,524,2025-09-23,2026-02-03,Lost
525,525,2024-12-31,2026-01-24,Delivered
526,526,2025-08-31,2025-09-01,Lost
527,527,2024-06-28,2025-06-02,Lost
528,528,2025-04-20,2026-01-18,Delivered
529,529,2025-06-29,2025-12-19,Delivered
530,530,2024-02-27,2025-01-24,Lost
531,531,2025-08-12,2026-02-11,Lost
532,532,2024-08-12,2024-10-17,Lost
533,533,2025-07-26,2026-01-03,Lost
534,534,2025-12-29,2026-02-16,Lost
535,535,2025-01-13,2025-01-16,Lost
536,536,2025-02-03,2025-06-17,Delayed
537,537,2025-05-11,2025-05-16,Lost
538,538,2025-07-23,2025-10-05,Delivered
539,539,2025-04-16,2026-02-26,Delayed
540,540,2025-12-10,2026-01-03,Delayed
541,541,2025-11-28,2025-12-23,Delayed
542,542,2024-09-02,2025-10-30,Lost
543,543,2025-09-01,2025-09-10,Delivered
544,544,2024-06-17,2025-07-19,Lost
545,545,2024-05-06,2025-02-26,Delivered
546,546,2025-11-23,2025-12-17,Delayed
547,547,2024-12-28,2025-05-17,Delayed
548,548,2024-09-04,2025-12-06,Lost
549,549,2024-06-20,2026-02-10,Lost
550,550,2025-08-05,2025-11-21,Delayed
551,551,2025-05-28,2025-11-02,Lost
552,552,2024-11-29,2026-02-03,Delivered
553,553,2024-10-17,2024-12-03,Lost
554,554,2025-03-27,2025-10-02,Delivered
555,555,2024-12-19,2025-03-12,Delayed
556,556,2024-05-13,2025-04-08,Delivered
557,557,2024-04-25,2026-01-06,Delayed
558,558,2025-10-28,2026-01-07,Lost
559,559,2024-11-15,2025-09-14,Delayed
560,560,2024-12-31,2026-01-30,Delayed
561,561,2024-11-10,2025-08-23,Lost
562,562,2025-03-17,2025-08-04,Delivered
563,563,2024-11-05,2025-07-23,Delayed
564,564,2025-05-18,2026-02-20,Delivered
565,565,2026-02-22,2026-02-24,Delayed
566,566,2024-07-14,2025-10-15,Lost
567,567,2025-08-25,2026-02-24,Delivered
568,568,2026-02-22,2026-02-25,Delivered
569,569,2026-01-15,2026-02-15,Lost
570,570,2025-05-29,2025-11-19,Delivered
571,571,2024-02-27,2025-11-28,Delayed
572,572,2025-08-20,2025-12-02,Lost
573,573,2025-09-29,2026-02-13,Lost
574,574,2025-03-27,2025-07-25,Delivered
575,575,2025-02-22,2025-12-24,Lost
576,576,2025-07-13,2025-11-18,Delivered
577,577,2025-05-04,2025-06-11,Lost
578,578,2024-05-03,2025-10-17,Lost
579,579,2025-11-03,2026-01-25,Delivered
580,580,2025-01-25,2026-02-02,Delayed
581,581,2024-10-30,2025-06-28,Delayed
582,582,2025-12-31,2026-01-24,Lost
583,583,2024-04-16,2025-02-05,Delayed
584,584,2025-09-26,2026-01-20,Lost
585,585,2026-01-16,2026-01-21,Delivered
586,586,2024-05-25,2024-10-09,Delivered
587,587,2025-10-09,2026-02-04,Lost
588,588,2024-12-12,2025-07-12,Delayed
589,589,2025-03-28,2025-05-26,Delayed
590,590,2024-05-13,2025-03-25,Delayed
591,591,2025-11-16,2025-12-24,Delivered
592,592,2025-08-12,2025-10-24,Delivered
593,593,2024-05-03,2025-09-06,Delivered
594,594,2025-08-24,2025-12-06,Delivered
595,595,2025-10-30,2025-12-15,Delayed
596,596,2025-04-19,2025-08-08,Delayed
597,597,2024-08-05,2025-03-20,Lost
598,598,2025-10-26,2026-02-16,Delayed
599,599,2025-03-23,2025-11-28,Delivered
600,600,2025-05-10,2025-10-24,Lost
601,601,2024-03-09,2026-02-17,Delayed
602,602,2025-05-08,2025-12-03,Delayed
603,603,2025-02-18,2025-07-13,Delayed
604,604,2024-11-05,2025-05-09,Lost
605,605,2024-06-29,2025-10-30,Delayed
606,606,2025-04-08,2025-06-28,Delivered
607,607,2024-05-21,2024-08-09,Delayed
608,608,2024-04-04,2024-07-22,Lost
609,609,2026-02-26,2026-02-26,Lost
610,610,2024-06-17,2024-10-08,Delayed
611,611,2024-04-27,2025-06-03,Delivered
612,612,2025-09-13,2025-09-24,Delivered
613,613,2025-09-01,2025-09-17,Lost
614,614,2024-07-02,2025-07-31,Delayed
615,615,2025-11-16,2026-02-11,Lost
